번호	글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
11	악초	2022.03.14 12:06	1,672	2	0	한달넘게 기다렸는데 드디어 3일뒤면	https://pann.nate.com/talk/365513060?page=1	제이드다이너스티 곧 런칭한대요 쭉 기다렸는데 드디어 3일남음 ㅠㅠ   이거 주선IP라해서 스토리를 제일 기대중..ㅋㅋㅋ
12	빠담이	2022.03.14 11:31	950	1	1	국내 건설사 기술력도 대단한...	https://pann.nate.com/talk/365512905?page=1	나이지리아가 원래 매운맛 원조라고 하더라구요 근데 쌀이 귀해서 먹질 못했다고 ㅠ우리나라에서 비료공장 만들어서 식량문제 해결해줬다고 해요 ! 매운걸 잘 못 먹긴 하지만 그래도 한 번은 먹어보고 싶은 나이지리아 소울푸드네요 우리나라 덕분에 대중적으로 더 확산이 되었다고 하니 말이에요 ㅎㅎ
13	ㆍ	2022.03.12 17:39	767	0	1	샤이니 종현님 썰	https://pann.nate.com/talk/365488100?page=1	이건 내가 6학년때 댄스쌤이 말씀해주셨던 이야기였음 4년전이였는데,우리 쌤이 아프셔서 2달간 다른쌤이 오셔서 봐주셨거든.그 쌤이 연예인들 이랑 같이 하는 뭐 댄서는 아닌데 그쪽이랑 비슷한 직업이셨거든.그래서 연예인 실물 이런거 많이 이야기해주시고 방탄소년단 정국이랑 슈가가 내기한다고 했을때 내가 정국이랑 슈가 투표 막 돌아다니면서 받고 그랬었거든 그래서 정국이가 2표차이로 져서 베라 쏘고 그랬다는데 아무튼 그게 중요한게 아니라 종현님 세상 떠났을때 이야기를 해주셨음 종현님이랑 벚꽃도 보러 다니고 그럴정도록 엄청 친하셨다는데 그 쌤이 종현님 떠나셨다는 소식듣고 엄청 울었대 근데 여기서 더 슬픈건 종현님이 죽기전에 팬분들한테 남기는 편지랑 회사한테 남긴 편지를 회사에 막 붙이고 다음날 가셨다고 하더라고 원래 공개하려고 했는데 선생님이 팬들 더 운다고 공개하지 말자고 해서 공개 안한거래 여기서 내가 하고 싶은 말이 있다면 종현님 정말 좋은 사람이였다는거야 죽기전까지 회사분들이랑 샤월생각 하고 있었다는거야 본인이 힘들어도 끝까지 주변 사람 챙긴 사람은 종현님 밖에 없을걸?분명 좋은 곳 가셨을거야 며칠 지나면 종현님 생일이라고 알고있거든?샤월분들 힘내세요~종현님 생각하면서 힘내보자고여~♡
14	글쓴아힘내	2022.03.10 05:22	631	2	0	윤석열 스펙 개지리네	https://pann.nate.com/talk/365456622?page=1	윤석열 스펙  검찰 총장 찍고 다음이 대통령 ; ㅎ ㄷ ㄷ   정치 입문을 끝판왕 찍고 시작. ㄷ ㄷ ㄷ
15	쓰니	2022.03.08 09:08	341	0	0	아는 오빠가 간지럽힌다	https://pann.nate.com/talk/365413723?page=1	흐아아앙~오퐈 야메떼~
16	권나나	2022.03.08 06:55	196	0	0	러시아-우크라이나 사태에 관한 (사...	https://pann.nate.com/talk/365413388?page=1	러시아-우크라이나 사태에 관한 (사)하늘문화세계평화광복(HWPL) 성명 * 이 땅에 평화가 정착되기를 간절히 소원합니다 *
17	산산산	2022.03.05 11:04	127	0	0	치매제도 개선을 위한 치매가족들의 ...	https://pann.nate.com/talk/365368498?page=1	이런글올리게되어정말죄송합니다.저는치매 9년차집사람을돌보고있습니다.요양원에서 폭력적으로 변해서 쫒겨나왔습니다.받아주는 요양원이 없습니다.ㅠㅠ 현제의치매제도는일반인들이생각하고있는있는것과너무다릅니다.요양시설을위한제도이지환자가족을위한제도는아닙니다.시설로가면건강보험공단에서지원을해주지만가족이돌보면 1일1시간 20일박에인정을안해줍니다.이번에 kbs 굳모닝대한민국에출연을하게되어서호소드립니다. 이제는치매가족을위한정책이필요한때입니다.2백만치매가족의염원을들어주십시오. 잘못된치매정책으로어떤여자는치매지원금을수십억해먹어도무죄입니다.  꼭유투브영상보시고동의가되시면청원동의부탁드리고문제가있으면질책해주시기바랍니다http://youtu.be/U9xcw6mAtK4   방송보기http://www1.president.go.kr/petitions/Temp/akSnqh 청원하기
18	DJPA	2022.03.04 04:55	470	0	0	[하숙집 부부 이야기]	https://pann.nate.com/talk/365352709?page=1	윤석열의 인성, 이재명과는 너무나도 대조적 http://naver.me/5Yv9vOaY  윤석열 하숙집 주인 부부 '넙죽 큰절한 尹…법과 원칙으로 역사에 남는 대통령 되길' http://naver.me/xdVJLcbw   윤석열 국민의힘 대선 후보가 초임 검사로 대구지검에 근무할 때 하숙했던 박정자(81) 씨와 남편 권병직(81) 씨의 집을 찾았다.   박 씨와 권 씨는 윤 후보를 '윤 검사' 라고 부르며 "윤 검사가 아침에 북어국을 그렇게 잘 먹더라"고 회상했다.   당시 초등학교 교사였던 권 씨는 윤 후보와 아침밥을 같이 먹고 각자 출근길에 올랐다.   1994년 3월 14일~1996년 3월 1일. 윤석열 국민의힘 대선 후보가 초임 검사로 대구지검에 근무한 기간이다.  당시 윤 후보의 대구 하숙집 주인 아주머니 박정자(81) 씨와 남편 권병직(81) 씨의 가계부에는 '윤 검사'가 머물렀던 기간의 기록이 정확히 적혀 있었다. 박 씨는 윤 후보를 처음 본 순간을 마치 어제 일처럼 기억했다.  "복덕방에 가서 우리 방 한 칸 있으니까 아파트 문간방이고 해서 자는 사람 한 사람만 구해주세요 부탁해놨어. 그런데 한 며칠 있다가 이래 막 덩치 큰 사람을 데리고 왔는기라. 검사라고 그러대."  윤 후보를 처음이자 마지막 하숙생으로 받은 이후 여전히 그곳에 사는 박 씨 부부를 찾아갔다. 그들에게 당시 33세 윤 검사에 대한 기억과 대통령에 당선된다면 바라는 것을 물었다.  박 씨는 "윤 검사를 우리가 2년 동안 겪었는데 지금 보태는 것도 빼는 것도 없이 인간으로서 가진 덕목은 거진 다 갖춘 사람이었다"며   "성격, 인성이 좋고 그리고 예의도 바른거야 사람이. 부모 교육을 굉장히 잘 받았더라고. 인정도 있고 의리도 있고 하여튼 젊은 사람이 그렇게 원만하더라 카이"라고 회상했다.  윤 후보는 출근길에 '다녀오겠습니다' 라는 인사를 빠트린 적이 없다. 당시 초등학교 교사였던 권 씨의 외벌이로 살림살이가 넉넉하지는 못했는데, 윤 후보는 1년에 한 번씩 고급 중식당과 한정식집에 박 씨 부부를 데려가 식사를 대접했다고 한다.  박 씨는 "하숙생이 그런 사람이 어디 있노. 우리는 돈 다 받았는데"라며 "윤 검사가 퇴근하면서 전화로 나오라는데 우리 생전 처음으로 이 빙빙 식탁 돌리는 데를 갔지. 생각해 보니까 우리를 부모로 생각한거지. 하숙집 아줌마가 아니고"라고 했다.  윤 후보가 1996년 강릉지청에 발령받고 하숙집을 떠나던 순간도 기억이 생생하다.   박 씨는 "나가는 날에 책하고 뭐 이래 차에 싣고는 우리 내외가 너무 섭섭해가지고 이래 막 내다보는데 윤 검사가 선생님 잠깐만 앉으세요 이러는거야. 왜 앉아있게 하노 하는데 갑자기 큰절을 넙죽하는거야"   "그러면서 우리한테 잡비까지 내놓고 가더라고. '그동안 너무 고마웠습니다 감사했습니다'라고 하면서. 그런 하숙생이 어디 있나 감동하지. 우리끼리 진짜 희한한 사람이라고 그랬어"라고 했다.  윤석열 국민의힘 대선 후보가 생활했던 하숙방은 지금은 사실상 창고로 사용되고 있다.   박정자 씨는 "윤검사한테 살림살이라곤 별로 없었다. 바닥엔 이불, 벽엔 정장 한 벌이랑 와이셔츠 정도만 걸려 있었는데 트랜지스터 라디오 하나 갖다놨던 게 기억이 난다"고 말했다.   박 씨는 윤 후보의 인성이 모친 최정자 씨를 빼닮은 것이라고 했다.  그는 "하숙비를 아들한테 보내면 될 건데 서울에서 직접 일부러 와가지고 고맙다 카더라고"라며   "한 번은 '사모님 나도 내 아이지만 욕실을 온 천지 물 천지를 만들어서 짜증날 때 많은데 사모님이 아무 군소리 없이 우리 윤 검사를 잘 돌봐주셔서 감사하다'고 하더라니까" 라고 웃었다.   윤 후보가 하숙집을 떠나기 직전 대구를 마지막으로 방문한 최 씨는 감사의 의미로 박 씨에게 금노리개를 선물하기까지 했다.  같은 아들을 둔 어머니끼리 자식관에 대해 이야기를 나눈 적도 있다.  박 씨는 "어머니가 윤 검사한테 누구한테든지 절대로 짜장면 한 그릇도 공짜로 얻어먹지 말라 캤다는거라. 검사 처음 월급 얼마 안 되잖아.   그런데도 돈이 모자라면 집에 돈을 갖다 쓰더라도 절대 남한테 폐를 끼치지 말고 훌륭한 검사가 돼야 한다고 가르쳤다고 그러대"라며   "나중에 윤 검사가 2년 동안 집에서 돈 1천만원 가까이 갖다 썼다고 하더라니까. 얼마나 밥을 많이 사줬겠노. 우리한테도 대접한 거 보면"이라고 전했다.  윤석열 후보가 대통령이 되면 바라는 것을 물었다.  그들은 "우리야 이제 얼마 살면 죽지만은 우리 자식들이 잘 살아야지. 대한민국이 비록 작지만은 선진국 대열에 섰잖아. 참으로 자식들 잘 키우려고 부모들 희생하면서 자식들 공부를 그리 시키는 나라가 어디 있냐"며   "정치만 좀 잘하면 된다. 윤 검사가 법과 원칙대로 잘 해가지고 역사에 남는 대통령이 됐으면 한다"고 했다 (펌글)
19	쓰니	2022.03.03 14:44	220	0	0	별거 아닌 말에 감동받고 치유받고 ...	https://pann.nate.com/talk/365341460?page=1	최근 영어 회화 사이트 들어가서 외국인들과 얘기하고 있는데제 표정이 우울해보였는지 한 인도네시아 분이 무슨 일 있냐고 물으시더라구요..면접 또 떨어졌다고 하니까 가족 친구도 안 해주는 따뜻한 말들을 많이 들었어요자존감 떨어지면 외국인 분과 대화해보는 걸 추천합니다..!새로운 시각으로 자기를 볼 수 있을거에요...참고로 저는 에피소든이라는 사이트를 자주 들어갑니다!내돈내산 아니에요 ㅋㅋㅋㅋ (무료 사이트임..)다들 힘드실 때 들어가서 속풀이하고 오세요.
20	현실남편	2022.03.02 21:57	266	1	1	20대 대통령선거 토론회 마...	https://pann.nate.com/talk/365333436?page=1	이재명 : 존경하는 국민여러분...심상정 : 존경하는 국민여러분...안철수 : 사랑하고 존경하는 국민여러분...윤석열 : 국민여러분 보셨죠???? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ국민을 어떻게 보길래... 마지막 발언을 저렇게 시작하는거지?????ㅡ_ㅡㅋㅋ너무 웃겨 쓰러질뻔...
21	ㅇㅇ	2022.03.02 13:43	183	0	0	길냥이 구조이야기 감동	https://pann.nate.com/talk/365327088?page=1	
